cik,filing_date,accession,primary_document,verdict,detail
1136294,2016-01-26,0001104659-16-091321,a16-2809_18k.htm,keep,"60;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160; Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. Restatement of 2012 Fiscal Periods As previously disclosed in Current Reports on Form 8-K,"
812074,2016-05-02,0001104659-16-116698,a16-10325_18k.htm,keep,"60;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160; NON-RELIANCE ON PREVIOUSLY ISSUED FINANCIAL STATEMENT OR A RELATED AUDIT REPORT OR COMPLETED INTERIM REVIEW. Since June 2015, the Company has been engaged in an ongoing dialogue with the staff of the "
1101680,2017-02-24,0001101680-17-000008,dzsi8-krestatement2242017.htm,keep,"unications pursuant to Rule 13e-4(c) under the Exchange Act (17 CFR 240.13e-4(c)) Item&#160;4.02(a) Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. As previously reported, on September 9, 2016, DASAN Zhone Solutions, Inc. (the &#8220;Comp"
1101680,2017-03-22,0001101680-17-000015,us-docsx83219692xv3dzsi8xk.htm,keep,"unications pursuant to Rule 13e-4(c) under the Exchange Act (17 CFR 240.13e-4(c)) Item&#160;4.02(a) Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. On March 21, 2017, the Audit Committee of the Board of Directors of DASAN Zhone Solutions,"
1101680,2017-04-03,0001101680-17-000019,dzsi8-karelegacyzhonefinan.htm,keep,"the financial statements referenced therein upon which investors should not rely. Item&#160;4.02(a) Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. As previously disclosed, on March 21, 2017, the Audit Committee of the Board of Directors "
1637459,2017-11-06,0001193125-17-334467,d489327d8k.htm,keep,"ial accounting standards provided pursuant to Section 13(a) of the Exchange Act. &#9744; Item 4.02. Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. On October 31, 2017, the Audit Committee of the Board of Directors of The Kraft Heinz Comp"
850261,2018-02-27,0001144204-18-011016,tv487090_8k.htm,keep,".02 of this Current Report on Form 8-K is incorporated by reference into this Item 2.06. Item 4.02. Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. On February 26, 2018, the Audit Committee of the Board of Directors (the &ldquo;Audit Comm"
352998,2018-03-15,0001144204-18-014901,tv488639_8k.htm,keep,"ncial accounting standards provided pursuant to Section 13(a) of the Exchange Act. &#168; Item 4.02 Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. On March 12, 2018, management of Teligent, Inc. (the &ldquo; Company &rdquo;), based on di"
823277,2018-10-26,0000823277-18-000055,a8-knonxrelianceoffinancia.htm,keep,"60;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160; Non-Reliance on Previously Issued Financial Statements or a Related Audit Report on Completed Interim Period. &#160; On October 22, 2018, the Audit Committee (the &#8220;Audit Committee&#8221;) of the"
352998,2018-11-13,0001144204-18-059002,tv506949_8k.htm,keep,"ancial accounting standards provided pursuant to Section 13(a) of the Exchange Act. &uml; Item 4.02 Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. On November 8, 2018, management of Teligent, Inc. (the &ldquo; Company &rdquo;), based on "
1365916,2019-04-11,0001171843-19-002369,f8k_041119.htm,keep,"strant. The information contained in Item 1.01 above is incorporated herein by reference. Item 4.02 Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. (a) On April 5, 2019, the Audit Committee of the Board of Directors (the &ldquo; Audit Com"
1484769,2019-04-12,0001493152-19-005224,form8-k.htm,keep,"evised financial accounting standards pursuant to Section 13(a) of the Exchange Act. [ ] Item 4.02. Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. On April 8, 2019, Pulse Evolution Group, Inc. (the &ldquo;Company&rdquo;) was advised by i"
1522690,2019-04-16,0001213900-19-006444,f8k041519b_gwgholdings.htm,keep,"financial accounting standards provided pursuant to Section 13(a) of the Exchange Act. o Item 4.02 Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. On April 15, 2019, the Board of Directors of GWG Holdings, Inc. (the &quot;Company&quot;), "
1637459,2019-05-06,0001637459-19-000033,may2019form8-k.htm,keep,"le to timely file its Quarterly Report on Form 10-Q for the period ended March 30, 2019. Item 4.02. Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. On May 2, 2019, the Company, in consultation with the Audit Committee of its Board of Dire"
1365916,2019-05-16,0001171843-19-003428,f8k_051619.htm,keep,"that the Company's financial statements for (i) the year ended December 31, 2017 (the &ldquo; 2017 Non-Reliance Period &rdquo;) and (ii) the quarters and year to date periods ended March 31, 2018, June 30, 2018 and September 30, 2018 (the &ldquo; 2018 Non-Reliance Periods &rdquo; and, together with "
1084384,2019-10-21,0001104659-19-055290,tm1920647d1_8k.htm,keep,"lass Trading Symbol(s) Name of each exchange on which registered Common Stock TEUM NASDAQ Item 4.02 Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. On October 21, 2019, the board of directors of Pareteum Corporation (the &ldquo;Company&rd"
63276,2019-10-29,0001193125-19-277846,d788142d8k.htm,keep,"rnished as Exhibit 99.1 hereto. This exhibit is incorporated herein by reference. Item&#160;4.02(a) Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review . On October 28, 2019, the Company, in consultation with the Audit Committee of its Board o"
1498710,2020-03-26,0001498710-20-000118,a8-k03262020.htm,keep,"l accounting standards provided pursuant to Section 13(a) of the Exchange Act. &#9744; Item 4.02(a) Non-Reliance on Previously Issued Financial Statements or a Related Audit Report of Completed Interim Review On March 21, 2020, Spirit Airlines, Inc. (&#8220;Spirit&#8221; or ""the Company""), after con"
1760173,2020-04-09,0001193125-20-101786,d898406d8k.htm,keep,"cial accounting standards provided pursuant to Section 13(a) of the Exchange Act. &#9744; Item 4.02 Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. As previously announced, the Audit Committee of the Board of Directors (the &#147;Board&#1"
1223389,2020-04-14,0001223389-20-000015,a8-k13120earningsrelease.htm,keep,"any information in the report that is required to be disclosed solely by Regulation FD. Item 4.02. Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. (a) Correction of Errors in Previously Issued Financial Statements On April 8, 2020, the Au"
1467154,2020-05-15,0001467154-20-000059,novn-051420208k.htm,spac_warrant_reclassification,warrant reclassification per the 2021 SEC statement
1484769,2020-08-11,0001493152-20-015140,form8-k.htm,keep,"revised financial accounting standards pursuant to Section 13(a) of the Exchange Act. [ ] Item 4.02 Non-Reliance on Previously Issued Financial Statements. On August 10, 2020, the Board of Directors (the &ldquo; Board &rdquo;) of FaceBank Group, Inc. (the &ldquo; Company &rdquo;) concluded, upon the"
1124198,2020-09-08,0001104659-20-103080,tm2030384-1_8k.htm,keep,"roject needs, and has no outstanding loans under its revolving credit facilities. &#160; Item 4.02. Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. &#160; On September 8, 2020, the Audit Committee of the Company's Board of Directors, in c"
1484769,2020-09-15,0001493152-20-017813,form8-k.htm,keep,"revised financial accounting standards pursuant to Section 13(a) of the Exchange Act. [ ] Item 4.02 Non-Reliance on Previously Issued Financial Statements. On September 14, 2020, the Board of Directors (the &ldquo; Board &rdquo;) of fuboTV Inc., a Florida corporation (the &ldquo; Company &rdquo;) co"
1084384,2021-03-08,0001104659-21-033360,tm218964d1_8k.htm,keep,"ncial accounting standards provided pursuant to Section 13(a) of the Exchange Act. &#168; Item 4.02 Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. The registered public accounting firm of Squar Milner LLP, which is now part of Baker Till"
1811109,2021-03-30,0001607062-21-000067,auvi032221form8k.htm,keep,"l accounting standards provided pursuant to Section 13(a) of the Exchange Act. &#9744; 1 Item 4.02. Non-reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review. On March 25, 2021, Adeptus Partners LLC, the independent registered public accounting firm"
1770141,2021-04-21,0001193125-21-124692,d309450d8k.htm,spac_warrant_reclassification,warrant reclassification per the 2021 SEC statement
1800682,2021-04-27,0001193125-21-134479,d318248d8k.htm,spac_warrant_reclassification,warrant reclassification per the 2021 SEC statement
1813914,2021-04-28,0001104659-21-055851,tm2114114d2_8k.htm,spac_warrant_reclassification,warrant reclassification per the 2021 SEC statement
1804591,2021-05-03,0000950103-21-006602,dp150386_8k.htm,spac_warrant_reclassification,warrant reclassification per the 2021 SEC statement
1731289,2021-05-04,0001731289-21-000050,nkla-20210504.htm,spac_warrant_reclassification,warrant reclassification per the 2021 SEC statement
1820630,2021-05-05,0001213900-21-024735,ea140324-8k_arclightclean.htm,spac_warrant_reclassification,warrant reclassification per the 2021 SEC statement
1821850,2021-05-06,0001564590-21-025049,sprq-8k_20210506.htm,spac_warrant_reclassification,warrant reclassification per the 2021 SEC statement
1720990,2021-05-07,0001140361-21-016451,nt10024222x3_8k.htm,spac_warrant_reclassification,warrant reclassification per the 2021 SEC statement
1779020,2021-05-07,0000950170-21-000142,dnmr-20210503.htm,spac_warrant_reclassification,warrant reclassification per the 2021 SEC statement
1759546,2021-05-11,0001104659-21-064530,tm2110489d2_8k.htm,spac_warrant_reclassification,warrant reclassification per the 2021 SEC statement
1811856,2021-05-11,0001193125-21-156557,d492826d8k.htm,spac_warrant_reclassification,warrant reclassification per the 2021 SEC statement
1813756,2021-05-12,0001193125-21-159275,d12329d8k.htm,spac_warrant_reclassification,warrant reclassification per the 2021 SEC statement
1794905,2021-05-13,0001104659-21-065373,tm2115854d1_8k.htm,spac_warrant_reclassification,warrant reclassification per the 2021 SEC statement
1830180,2021-05-13,0001193125-21-160658,d451965d8k.htm,spac_warrant_reclassification,warrant reclassification per the 2021 SEC statement
1807707,2021-05-14,0001807707-21-000014,apph-20210514.htm,spac_warrant_reclassification,warrant reclassification per the 2021 SEC statement
1823882,2021-05-14,0001829126-21-003865,newbeginnings_8k.htm,spac_warrant_reclassification,warrant reclassification per the 2021 SEC statement
1832351,2021-05-20,0001564590-21-029108,ck1832351-8k_20210518.htm,spac_warrant_reclassification,warrant reclassification per the 2021 SEC statement
1634447,2021-05-21,0001140361-21-018396,brhc10025007_8k.htm,spac_warrant_reclassification,warrant reclassification per the 2021 SEC statement
