cik,as_of,label,days_to_event,signal,confidence,risk_score,risk_probability,steps,terminated_because,verification_passed,tools_called,baseline_seen,rationale,residual,evidence
33213,2024-07-01,0,,healthy,1.0,2.0,0.02,9,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|check_going_concern|get_filing_events|get_prior_distress_events|get_trend,0,"The company exhibits strong financial health across multiple dimensions. The Ohlson O-Score is deeply negative, suggesting very low distress risk. Solvency is strong with a liabilities-to-assets ratio of 0.42 and an interest coverage ratio of 10.54. Liquidity is stable with a quick ratio near 1.0. Furthermore, the company has transitioned from negative to positive ROA over the last few years, and there are no auditor going-concern warnings, material weaknesses, or credit-related filing events.",,ohlson_o_score=-9.197 | quick_ratio=0.988 | liabilities_to_assets=0.415 | interest_coverage=10.536 | return_on_assets=0.068
66382,2024-07-01,0,,healthy,0.9,12.0,0.12,12,model_finished,1,available_periods|check_going_concern|get_filing_events|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_metric|get_peer_comparison|get_prior_distress_events,0,"The company shows no signs of immediate credit distress. There are no going-concern doubts, no material weaknesses, and no recent 8-K credit events. The Ohlson O-score is strongly negative, suggesting a low risk of failure. While interest coverage has declined significantly from 2021 levels (from 16.7 to 1.65), it remains above 1.0, meaning operating income still covers interest expenses. Liquidity is adequate with a quick ratio near 1.0. The low ROA and tight interest coverage prevent a 0 risk score, but the overall profile is stable.",,ohlson_o_score=-7.2547 | quick_ratio=0.9801 | interest_coverage=1.6527 | liabilities_to_assets=0.6397 | return_on_assets=0.0098
70318,2024-07-01,0,,healthy,1.0,5.0,0.05,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|check_going_concern|get_filing_events|get_prior_distress_events|get_trend|get_trend,0,"The company exhibits strong financial health across multiple dimensions. The Ohlson O-score is significantly negative, indicating a low probability of bankruptcy. Liquidity is healthy with a quick ratio of 1.42, and the company is profitable with a positive ROA. Interest coverage is stable and sufficient to meet debt obligations. Furthermore, there are no auditor going-concern warnings, no material weaknesses, and no credit-related filing events in the recent history. Trends in liquidity are improving, and interest coverage remains stable.",,ohlson_o_score=-6.6996 | quick_ratio=1.4193 | interest_coverage=2.7858 | return_on_assets=0.0463
80424,2024-07-01,0,,healthy,0.9,5.0,0.05,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|check_going_concern|get_filing_events|get_trend|get_trend|get_peer_comparison,0,"The company exhibits strong profitability (ROA ~12%) and an exceptional ability to service its debt (Interest Coverage ~24x). The Ohlson O-score is well within the healthy range. While the quick ratio is low (0.44) and slightly declining, and a material impairment was reported in late 2023, these factors are heavily outweighed by the strong earnings and lack of any auditor going-concern warnings. The overall risk of bankruptcy within the next 12 months is very low.",,ohlson_o_score=-8.4536 | interest_coverage=23.9868 | return_on_assets=0.1213 | quick_ratio=0.4356
103379,2024-07-01,0,,elevated_risk,0.8,52.0,0.52,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|check_going_concern|get_filing_events|get_trend|get_trend|get_prior_distress_events|get_peer_comparison,0,"The company is experiencing a severe financial downturn. Interest coverage has collapsed from a healthy 11.96 to a negative value, meaning operating income no longer covers interest expenses. Return on Assets has similarly plummeted from +10% to -8%. While the auditor has not yet issued a going-concern qualification and there are no recent 8-K credit events, the rapid three-year deterioration in profitability and debt-servicing capacity indicates elevated risk of insolvency.",,interest_coverage=-0.139 | return_on_assets=-0.083 | liabilities_to_assets=0.857 | quick_ratio=0.712
105319,2024-07-01,1,309,severe_risk,0.9,78.0,0.78,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|check_going_concern|get_filing_events|get_trend|get_trend|get_peer_comparison|check_threshold,0,"The company exhibits severe financial distress characterized by technical insolvency (liabilities to assets ratio of 1.77) and a critical inability to cover interest payments from operating income (interest coverage of 0.23). The trend in both solvency and debt service has deteriorated significantly over the last few years. While the absence of a going-concern qualification in the latest 10-Q/A and the lack of recent 8-K credit events are mitigating factors, the fundamental balance sheet and income statement metrics are highly predictive of bankruptcy risk.",,liabilities_to_assets=1.77502112970072 | interest_coverage=0.232894997549352 | return_on_assets=-0.114309135158804 | quick_ratio=0.873183362373578
109198,2024-07-01,0,,healthy,0.9,12.0,0.12,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|check_going_concern|get_filing_events|get_trend|get_line_item|get_line_item|get_line_item,0,"The company is profitable with a Return on Assets of approximately 15%. While the quick ratio is below 1.0 (0.64), it has remained stable over recent periods. Crucially, the latest 10-Q filing contains no auditor-expressed doubts regarding the company's ability to continue as a going concern and no material weaknesses. Additionally, there have been no credit-related 8-K events or late-filing notices in the last 540 days. These factors combined indicate a very low risk of bankruptcy within the next 12 months.",,return_on_assets=0.15040172118196793 | quick_ratio=0.6409912926992632
748790,2024-07-01,1,291,severe_risk,0.95,92.0,0.92,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|check_going_concern|get_filing_events|get_trend|get_trend,0,"The company is in severe financial distress. A quick ratio of 0.03 and a liabilities-to-assets ratio of 0.99 indicate a critical lack of liquidity and near-total insolvency. The negative interest coverage ratio (-22.63) confirms that operating income is insufficient to cover interest expenses. Most importantly, the latest 10-Q filing contains an explicit auditor's warning regarding substantial doubt about the company's ability to continue as a going concern due to a significant cash shortfall. This is further supported by material weaknesses in internal controls and a history of late SEC filings (NT 10-K). While ROA is slightly improving, it remains negative and does not mitigate the immediate liquidity crisis.",,quick_ratio=0.0318 | interest_coverage=-22.63 | liabilities_to_assets=0.9929 | ohlson_o_score=-1.4857
768835,2024-07-01,1,70,severe_risk,1.0,92.0,0.92,9,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|check_going_concern|get_filing_events|get_trend,0,"The company exhibits severe distress signals. The latest 10-Q (filed 2024-06-13) contains an explicit going concern warning due to potential breaches of the Excess Availability Covenant under its credit agreements. This is corroborated by a history of covenant breaches (two 8-K filings in 2023), a critically low quick ratio (0.16), negative interest coverage (-8.65), and negative return on assets (-14.5%). The combination of liquidity failure, operational losses, and explicit auditor/management doubt makes a bankruptcy filing within 12 months highly likely.",,quick_ratio=0.1597 | interest_coverage=-8.6545 | return_on_assets=-0.1449
821189,2024-07-01,0,,healthy,1.0,2.0,0.02,9,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|check_going_concern|get_filing_events|get_prior_distress_events|get_peer_comparison,0,"The company exhibits very strong financial health across all key metrics. Liquidity is high (Quick Ratio 2.13), debt serviceability is exceptional (Interest Coverage 64.89), and profitability is robust (ROA 17.3%). Furthermore, there are no auditor going-concern doubts, no material weaknesses, and no credit-related 8-K filings or prior distress events.",,quick_ratio=2.13 | interest_coverage=64.89 | return_on_assets=0.173
